VILLAGE_NAME,PANCHAYAT_NAME,BLOCK_NAME,DISTRICT_NAME,STATE_NAME,TOTAL_POPULATION,SC_POPULATION,ST_POPULATION,GEN_POPULATION,NO._OF_HABITATIONS,IS_PWS_AVAILABLE,JJM_STATUS,HAR_GHAR_JAL_CERTIFICATE,TOTAL_HOUSEHOLDS,TOTAL_TAP_CONNECTIONS
Tangrala,Tangrala,Amloh,Fatehgarh Sahib,Punjab,763.0,274.0,0.0,489.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,138.0,138.0
Tibbi,Tibi,Amloh,Fatehgarh Sahib,Punjab,1084.0,358.0,0.0,726.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,227.0,227.0
Tooran,Turan,Amloh,Fatehgarh Sahib,Punjab,2578.0,1703.0,0.0,875.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,447.0,447.0
Abdulpur,Abdulapur,Bassi Pathana,Fatehgarh Sahib,Punjab,687.0,317.0,0.0,370.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,125.0,125.0
Alampur,Alampur,Bassi Pathana,Fatehgarh Sahib,Punjab,232.0,22.0,0.0,210.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,35.0,35.0
Badwala,Badwala,Bassi Pathana,Fatehgarh Sahib,Punjab,782.0,296.0,0.0,486.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,147.0,147.0
Bagh Sikander,Bag Sikander,Bassi Pathana,Fatehgarh Sahib,Punjab,1296.0,277.0,0.0,1019.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,191.0,191.0
Baher,Baher,Bassi Pathana,Fatehgarh Sahib,Punjab,1237.0,331.0,0.0,906.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,250.0,250.0
Behrampur,Behrampur,Bassi Pathana,Fatehgarh Sahib,Punjab,842.0,180.0,0.0,662.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,121.0,121.0
Bhanguan,Bhanguan,Bassi Pathana,Fatehgarh Sahib,Punjab,534.0,243.0,0.0,291.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,101.0,101.0
Bhuteri,Bhateri,Bassi Pathana,Fatehgarh Sahib,Punjab,1355.0,410.0,0.0,945.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,294.0,294.0
Bhuchi,Bhuchi,Bassi Pathana,Fatehgarh Sahib,Punjab,288.0,48.0,0.0,240.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,54.0,54.0
Dadiana,Dadiana,Bassi Pathana,Fatehgarh Sahib,Punjab,951.0,151.0,0.0,800.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,200.0,200.0
Dhamheri,Damheri,Bassi Pathana,Fatehgarh Sahib,Punjab,1041.0,369.0,0.0,672.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,214.0,214.0
Dedran,Dedran,Bassi Pathana,Fatehgarh Sahib,Punjab,541.0,346.0,0.0,195.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,105.0,105.0
Dera Meer Miran,Dera Mir Meran,Bassi Pathana,Fatehgarh Sahib,Punjab,890.0,179.0,0.0,711.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,190.0,190.0
Dhunda,Dhunda,Bassi Pathana,Fatehgarh Sahib,Punjab,804.0,340.0,0.0,464.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,152.0,152.0
Fatehpurjattan,Fatehpur Jattan,Bassi Pathana,Fatehgarh Sahib,Punjab,945.0,320.0,0.0,625.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,180.0,180.0
Fatehpurraian,Fatehpur Raian,Bassi Pathana,Fatehgarh Sahib,Punjab,857.0,298.0,0.0,559.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,156.0,156.0
Ferozepur,Ferozpur,Bassi Pathana,Fatehgarh Sahib,Punjab,1499.0,732.0,0.0,767.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,274.0,274.0
Ganduan Kalan,Gandwan Kalan,Bassi Pathana,Fatehgarh Sahib,Punjab,960.0,469.0,0.0,491.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,201.0,201.0
Ghumandgarh,Ghamandgarh,Bassi Pathana,Fatehgarh Sahib,Punjab,424.0,66.0,0.0,358.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,172.0,172.0
Gopalon,Gopalon,Bassi Pathana,Fatehgarh Sahib,Punjab,1157.0,401.0,0.0,756.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,227.0,227.0
Gunia Majri,Gunia Majri,Bassi Pathana,Fatehgarh Sahib,Punjab,394.0,27.0,0.0,367.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,68.0,68.0
Hazipur,Hajipur,Bassi Pathana,Fatehgarh Sahib,Punjab,240.0,149.0,0.0,91.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,49.0,49.0
Harlalpur,Harlalpura,Bassi Pathana,Fatehgarh Sahib,Punjab,880.0,236.0,0.0,644.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,181.0,181.0
Himatpura,Himatpura,Bassi Pathana,Fatehgarh Sahib,Punjab,220.0,42.0,0.0,178.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,47.0,47.0
Jai Singh Wala,Jai Singh Wala,Bassi Pathana,Fatehgarh Sahib,Punjab,360.0,101.0,0.0,259.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,76.0,76.0
Jandali,Jandali,Bassi Pathana,Fatehgarh Sahib,Punjab,856.0,243.0,0.0,613.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,151.0,151.0
Jarkhelan Kheri,Jarkhelan Kheri,Bassi Pathana,Fatehgarh Sahib,Punjab,680.0,0.0,0.0,680.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,117.0,117.0
Jawanda,Jawanda,Bassi Pathana,Fatehgarh Sahib,Punjab,742.0,514.0,0.0,228.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,149.0,149.0
Jodhpur,Jodhpur,Bassi Pathana,Fatehgarh Sahib,Punjab,423.0,186.0,0.0,237.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,79.0,79.0
Kajalmajra,Kajal Majra,Bassi Pathana,Fatehgarh Sahib,Punjab,383.0,140.0,0.0,243.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,66.0,66.0
Kalondi,Kalaundi,Bassi Pathana,Fatehgarh Sahib,Punjab,780.0,475.0,0.0,305.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,151.0,151.0
Kalour,Kalaur,Bassi Pathana,Fatehgarh Sahib,Punjab,2160.0,993.0,0.0,1167.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,374.0,374.0
Kamalheri,Kamal Heri (nanhan Heri),Bassi Pathana,Fatehgarh Sahib,Punjab,275.0,72.0,0.0,203.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,56.0,56.0
Kamali,Kamali,Bassi Pathana,Fatehgarh Sahib,Punjab,1199.0,491.0,0.0,708.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,212.0,212.0
Husainpur,Kandipur,Bassi Pathana,Fatehgarh Sahib,Punjab,295.0,67.0,0.0,228.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,59.0,59.0
Kandipur,Kandipur,Bassi Pathana,Fatehgarh Sahib,Punjab,70.0,19.0,0.0,51.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,58.0,58.0
Kareempur,Karimpura,Bassi Pathana,Fatehgarh Sahib,Punjab,275.0,9.0,0.0,266.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,43.0,43.0
Khalaspur,Khalaspur,Bassi Pathana,Fatehgarh Sahib,Punjab,1545.0,795.0,0.0,750.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,255.0,255.0
Khanpur,Khanpur,Bassi Pathana,Fatehgarh Sahib,Punjab,1141.0,663.0,0.0,478.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,248.0,248.0
Kheribhaiki,Kheri Bhai Ki,Bassi Pathana,Fatehgarh Sahib,Punjab,442.0,204.0,0.0,238.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,76.0,76.0
Ramgarh,Kheri Bhai Ki,Bassi Pathana,Fatehgarh Sahib,Punjab,90.0,0.0,0.0,90.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,18.0,18.0
Kheribirsingh,Kheri Bir Singh,Bassi Pathana,Fatehgarh Sahib,Punjab,685.0,339.0,0.0,346.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,133.0,133.0
Khudadadpur,Khudadpur,Bassi Pathana,Fatehgarh Sahib,Punjab,243.0,50.0,0.0,193.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,54.0,54.0
Kishanpur,Kishanpura,Bassi Pathana,Fatehgarh Sahib,Punjab,561.0,187.0,0.0,374.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,100.0,100.0
Kotla,Kotla,Bassi Pathana,Fatehgarh Sahib,Punjab,860.0,222.0,0.0,638.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,175.0,175.0
Ladpuri,Ladpuri,Bassi Pathana,Fatehgarh Sahib,Punjab,444.0,218.0,0.0,226.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,92.0,92.0
Loharikalan,Lohari Kalan,Bassi Pathana,Fatehgarh Sahib,Punjab,1237.0,496.0,0.0,741.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,275.0,275.0
Lullon,Lulon,Bassi Pathana,Fatehgarh Sahib,Punjab,1282.0,487.0,0.0,795.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,206.0,206.0
Mahadian,Mahadian,Bassi Pathana,Fatehgarh Sahib,Punjab,1544.0,553.0,0.0,991.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,250.0,250.0
Mainmajri,Main Majri,Bassi Pathana,Fatehgarh Sahib,Punjab,1069.0,584.0,0.0,485.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,182.0,182.0
Majriazim,Majri Azim,Bassi Pathana,Fatehgarh Sahib,Punjab,300.0,50.0,0.0,250.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,57.0,57.0
Mandlan,Marlan,Bassi Pathana,Fatehgarh Sahib,Punjab,1001.0,507.0,0.0,494.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,149.0,149.0
Marwa,Marwa,Bassi Pathana,Fatehgarh Sahib,Punjab,909.0,394.0,0.0,515.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,163.0,163.0
Mehdudan,Mehdudan,Bassi Pathana,Fatehgarh Sahib,Punjab,614.0,496.0,0.0,118.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,133.0,133.0
Mehmoodpur,Mehmoodpur,Bassi Pathana,Fatehgarh Sahib,Punjab,620.0,208.0,0.0,412.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,120.0,120.0
Mirpur,Mirpur,Bassi Pathana,Fatehgarh Sahib,Punjab,525.0,170.0,0.0,355.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,89.0,89.0
Mulanpur Sadak,Mullan Pur Sadik,Bassi Pathana,Fatehgarh Sahib,Punjab,627.0,364.0,0.0,263.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,117.0,117.0
Mullapur,Mullanpur,Bassi Pathana,Fatehgarh Sahib,Punjab,693.0,294.0,0.0,399.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,139.0,139.0
Mustfabad,Mustfabad,Bassi Pathana,Fatehgarh Sahib,Punjab,934.0,413.0,0.0,521.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,172.0,172.0
Nandpur,Nandpur,Bassi Pathana,Fatehgarh Sahib,Punjab,2693.0,1236.0,0.0,1457.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,549.0,549.0
Lachmangarh,Nanuwal,Bassi Pathana,Fatehgarh Sahib,Punjab,63.0,0.0,0.0,63.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,12.0,12.0
Nanowal,Nanuwal,Bassi Pathana,Fatehgarh Sahib,Punjab,404.0,91.0,0.0,313.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,75.0,75.0
Nar Singh Pura,Nar Singh Pura,Bassi Pathana,Fatehgarh Sahib,Punjab,159.0,6.0,0.0,153.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,29.0,29.0
Nogawan,Nogawan,Bassi Pathana,Fatehgarh Sahib,Punjab,1336.0,469.0,0.0,867.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,219.0,219.0
Raili,Raili,Bassi Pathana,Fatehgarh Sahib,Punjab,884.0,284.0,0.0,600.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,156.0,156.0
Raillon,Railon,Bassi Pathana,Fatehgarh Sahib,Punjab,1449.0,615.0,0.0,834.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,336.0,336.0
Raipur Gujran,Raipur Gujran,Bassi Pathana,Fatehgarh Sahib,Punjab,673.0,98.0,0.0,575.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,105.0,105.0
Rampurkaleran,Rampur Kaleran,Bassi Pathana,Fatehgarh Sahib,Punjab,454.0,220.0,0.0,234.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,80.0,80.0
Rasulpur,Rasulpur,Bassi Pathana,Fatehgarh Sahib,Punjab,434.0,357.0,0.0,77.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,85.0,85.0
Rupalheri,Rupal Heri,Bassi Pathana,Fatehgarh Sahib,Punjab,1190.0,432.0,0.0,758.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,291.0,291.0
Rural Talania,Rural Talanian,Bassi Pathana,Fatehgarh Sahib,Punjab,257.0,9.0,0.0,248.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,45.0,45.0
Sadakpur,Sadikpur,Bassi Pathana,Fatehgarh Sahib,Punjab,305.0,0.0,0.0,305.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,53.0,53.0
Sehzadpur,Shahzadpur,Bassi Pathana,Fatehgarh Sahib,Punjab,616.0,259.0,0.0,357.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,118.0,118.0
Sahidgarh,Shaidgarh,Bassi Pathana,Fatehgarh Sahib,Punjab,1236.0,696.0,0.0,540.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,240.0,240.0
Shehzadpur,Shehzadpur,Bassi Pathana,Fatehgarh Sahib,Punjab,630.0,300.0,0.0,330.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,118.0,118.0
Shergarh,Shergarh Bara,Bassi Pathana,Fatehgarh Sahib,Punjab,582.0,291.0,0.0,291.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,111.0,111.0
Sivdaspur,Shivdaspur,Bassi Pathana,Fatehgarh Sahib,Punjab,193.0,7.0,0.0,186.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,35.0,35.0
Sikanderpur,Sikander Pur,Bassi Pathana,Fatehgarh Sahib,Punjab,317.0,196.0,0.0,121.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,54.0,54.0
Talwara,Talwara,Bassi Pathana,Fatehgarh Sahib,Punjab,1222.0,817.0,0.0,405.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,244.0,244.0
Thablan,Thablan,Bassi Pathana,Fatehgarh Sahib,Punjab,913.0,461.0,0.0,452.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,188.0,188.0
Uddalpur,Udalpur,Bassi Pathana,Fatehgarh Sahib,Punjab,561.0,284.0,0.0,277.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,102.0,102.0
Wazidpur,Wazidpur,Bassi Pathana,Fatehgarh Sahib,Punjab,900.0,300.0,0.0,600.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,161.0,161.0
Ajner,Ajner,Khamano,Fatehgarh Sahib,Punjab,1397.0,742.0,0.0,655.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,259.0,259.0
Amrala,Amarala,Khamano,Fatehgarh Sahib,Punjab,1919.0,891.0,0.0,1028.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,349.0,349.0
Amargarh,Amargarh,Khamano,Fatehgarh Sahib,Punjab,572.0,126.0,0.0,446.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,104.0,104.0
Badesh Khurd,Badecha Chotta,Khamano,Fatehgarh Sahib,Punjab,451.0,82.0,0.0,369.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,82.0,82.0
Badesh Kalan,Badesh Kalan,Khamano,Fatehgarh Sahib,Punjab,814.0,409.0,0.0,405.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,148.0,148.0
Badla,Badla,Khamano,Fatehgarh Sahib,Punjab,1331.0,556.0,0.0,775.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,242.0,242.0
Barwali Kalan,Barwali Kalan,Khamano,Fatehgarh Sahib,Punjab,1638.0,603.0,0.0,1035.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,324.0,324.0
Barwali Khurd,Barwali Khurd,Khamano,Fatehgarh Sahib,Punjab,1435.0,445.0,0.0,990.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,261.0,261.0
Batha Kalan,Bathan Kalan,Khamano,Fatehgarh Sahib,Punjab,748.0,253.0,0.0,495.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,136.0,136.0
Batha Khurd,Bathan Khurd,Khamano,Fatehgarh Sahib,Punjab,1221.0,393.0,0.0,828.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,150.0,150.0
Bhambri,Bhambri,Khamano,Fatehgarh Sahib,Punjab,1578.0,781.0,0.0,797.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,287.0,287.0
Bhamian,Bhamina,Khamano,Fatehgarh Sahib,Punjab,1122.0,417.0,0.0,705.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,204.0,204.0
Bharri,Bhari,Khamano,Fatehgarh Sahib,Punjab,2678.0,1005.0,0.0,1673.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,484.0,484.0
Bhattian,Bhatian,Khamano,Fatehgarh Sahib,Punjab,401.0,291.0,0.0,110.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,73.0,73.0
Bhuta,Bhutta,Khamano,Fatehgarh Sahib,Punjab,742.0,391.0,0.0,351.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,135.0,135.0
Bilaspur,Bilaspur,Khamano,Fatehgarh Sahib,Punjab,1133.0,368.0,0.0,765.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,206.0,206.0
Bour,Bour,Khamano,Fatehgarh Sahib,Punjab,819.0,399.0,0.0,420.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,149.0,149.0
Burj,Burj,Khamano,Fatehgarh Sahib,Punjab,698.0,207.0,0.0,491.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,127.0,127.0
Chandiala,Chandiala,Khamano,Fatehgarh Sahib,Punjab,594.0,262.0,0.0,332.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,108.0,108.0
Charri,Charri,Khamano,Fatehgarh Sahib,Punjab,2127.0,832.0,0.0,1295.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,405.0,405.0
Dhanaula,Dhanaula,Khamano,Fatehgarh Sahib,Punjab,1166.0,439.0,0.0,727.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,212.0,212.0
Dhianu Majra,Dhianu Majra,Khamano,Fatehgarh Sahib,Punjab,506.0,217.0,0.0,289.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,92.0,92.0
Dholewal,Dholewal,Khamano,Fatehgarh Sahib,Punjab,880.0,247.0,0.0,633.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,160.0,160.0
Dulwan,Dulwan,Khamano,Fatehgarh Sahib,Punjab,1111.0,561.0,0.0,550.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,202.0,202.0
Farour,Fraur,Khamano,Fatehgarh Sahib,Punjab,2590.0,1250.0,0.0,1340.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,471.0,471.0
Gagarwal,Gaggarwal,Khamano,Fatehgarh Sahib,Punjab,1463.0,423.0,0.0,1040.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,266.0,266.0
Hargana,Hargana,Khamano,Fatehgarh Sahib,Punjab,1595.0,487.0,0.0,1108.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,290.0,290.0
Hawara Kalan,Hawara,Khamano,Fatehgarh Sahib,Punjab,2310.0,785.0,0.0,1525.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,420.0,420.0
Jatana Niwan,Jatana Niwan,Khamano,Fatehgarh Sahib,Punjab,1034.0,540.0,0.0,494.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,188.0,188.0
Jatana Ucha,Jatana Ucha,Khamano,Fatehgarh Sahib,Punjab,1621.0,481.0,0.0,1140.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,284.0,284.0
Kale Majra,Kala Majra,Khamano,Fatehgarh Sahib,Punjab,572.0,201.0,0.0,371.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,39.0,39.0
Kalewal (khanna),Kalewal,Khamano,Fatehgarh Sahib,Punjab,797.0,78.0,0.0,719.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,145.0,145.0
Kalewal (samrala),Kalewal Kheri,Khamano,Fatehgarh Sahib,Punjab,1155.0,625.0,0.0,530.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,210.0,210.0
Khant,Khant,Khamano,Fatehgarh Sahib,Punjab,1771.0,614.0,0.0,1157.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,322.0,322.0
Kheri Naud Singh,Kheri Naud Singh,Khamano,Fatehgarh Sahib,Punjab,1386.0,628.0,0.0,758.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,252.0,252.0
Kotla Ajner,Kotla Ajner,Khamano,Fatehgarh Sahib,Punjab,1369.0,729.0,0.0,640.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,249.0,249.0
Kotlabadla,Kotla Badla,Khamano,Fatehgarh Sahib,Punjab,770.0,225.0,0.0,545.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,140.0,140.0
Kotla Masood,Kotla Maksudpur,Khamano,Fatehgarh Sahib,Punjab,293.0,58.0,0.0,235.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,48.0,48.0
Lakhanpur,Lakhanpur,Khamano,Fatehgarh Sahib,Punjab,1745.0,502.0,0.0,1243.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,310.0,310.0
Lohar Majra Kalan,Lohar Majra Khurd,Khamano,Fatehgarh Sahib,Punjab,1171.0,621.0,0.0,550.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,191.0,191.0
Mahespur,Maheshpur,Khamano,Fatehgarh Sahib,Punjab,1130.0,480.0,0.0,650.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,185.0,185.0
Majri,Majri,Khamano,Fatehgarh Sahib,Punjab,676.0,201.0,0.0,475.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,123.0,123.0
Manela,Manaila,Khamano,Fatehgarh Sahib,Punjab,1391.0,706.0,0.0,685.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,245.0,245.0
Maneli,Manali,Khamano,Fatehgarh Sahib,Punjab,908.0,448.0,0.0,460.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,165.0,165.0
Manderan,Manderan,Khamano,Fatehgarh Sahib,Punjab,1050.0,555.0,0.0,495.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,191.0,191.0
Manpur,Manpur,Khamano,Fatehgarh Sahib,Punjab,891.0,488.0,0.0,403.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,162.0,162.0
Mansoorpur,Mansurpur,Khamano,Fatehgarh Sahib,Punjab,1111.0,247.0,0.0,864.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,202.0,202.0
Mirpur,Mirpur,Khamano,Fatehgarh Sahib,Punjab,580.0,381.0,0.0,199.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,104.0,104.0
Mohanmajra,Mohan Majra,Khamano,Fatehgarh Sahib,Punjab,1028.0,467.0,0.0,561.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,187.0,187.0
Nangala,Nanglan,Khamano,Fatehgarh Sahib,Punjab,973.0,345.0,0.0,628.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,177.0,177.0
Nanowal,Nanowal,Khamano,Fatehgarh Sahib,Punjab,2024.0,910.0,0.0,1114.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,368.0,368.0
Panechan,Panechan,Khamano,Fatehgarh Sahib,Punjab,1039.0,459.0,0.0,580.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,189.0,189.0
Panjkoha,Panjkoha,Khamano,Fatehgarh Sahib,Punjab,1473.0,682.0,0.0,791.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,268.0,268.0
Polomajra,Polo Majra,Khamano,Fatehgarh Sahib,Punjab,819.0,469.0,0.0,350.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,149.0,149.0
Prempura,Prempura,Khamano,Fatehgarh Sahib,Punjab,247.0,0.0,0.0,247.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,45.0,45.0
Raipur,Raipur,Khamano,Fatehgarh Sahib,Punjab,870.0,269.0,0.0,601.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,133.0,133.0
Raipurraian,Raipur Raiyan,Khamano,Fatehgarh Sahib,Punjab,1166.0,701.0,0.0,465.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,212.0,212.0
Ramgarh,Ramgarh,Khamano,Fatehgarh Sahib,Punjab,616.0,310.0,0.0,306.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,112.0,112.0
Ranwan,Ranwan,Khamano,Fatehgarh Sahib,Punjab,1323.0,722.0,0.0,601.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,240.0,240.0
Rattangarh,Rattangarh,Khamano,Fatehgarh Sahib,Punjab,1567.0,734.0,0.0,833.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,285.0,285.0
Raya,Raya,Khamano,Fatehgarh Sahib,Punjab,885.0,185.0,0.0,700.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,161.0,161.0
Saidpura,Saidpura,Khamano,Fatehgarh Sahib,Punjab,1017.0,632.0,0.0,385.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,185.0,185.0
Sandharimajra,Sandhari Majra,Khamano,Fatehgarh Sahib,Punjab,852.0,321.0,0.0,531.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,155.0,155.0
Sanghol,Sanghol,Khamano,Fatehgarh Sahib,Punjab,6143.0,2453.0,0.0,3690.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1064.0,1064.0
